herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0871,Bonaaru,lowland figwort,Taprobanea medica var. minor,Myrtaceae,,immunity support; rheumatism; flatulence,latex; bark; rhizome,"lowland figwort (Taprobanea medica var. minor), known in Sinhala as Bonaaru, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, rheumatism, flatulence. The latex are the most commonly used part, usually prepared as a decoction. Reported properties include antibacterial, nervine tonic activity.","Decoction of latex: 40 ml, twice daily after meals. ",Avoid with anticoagulant medication; Not recommended for children under 5 years,flavonoids; phenolic acids; stigmasterol,Northern dry zone,Least Concern,seeds (after processing),antibacterial; nervine tonic,Ethnobotanical Research Archive ,research_paper
SLH-0872,Dinamala,coastal betony,Ayurvedia sylvestris var. montana,Rutaceae,,inflammation; toothache,tubers; tender shoots,"coastal betony (Ayurvedia sylvestris var. montana), known in Sinhala as Dinamala, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for inflammation, toothache. The tubers are the most commonly used part, usually prepared as a decoction. Reported properties include laxative, hypotensive activity.","Decoction of tubers: 90 ml, twice daily after meals. ",Not recommended for children under 5 years,iridoids; glycosides; essential oils; catechin; stigmasterol,Southern lowlands,Least Concern,young leaves,laxative; hypotensive; astringent,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0873,Gorigoda,highland nightflower,Zeylandra cordata var. insularis,Melastomataceae,,jaundice; arthritis; cold and flu,seeds,"highland nightflower (Zeylandra cordata var. insularis), known in Sinhala as Gorigoda, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for jaundice, arthritis, cold and flu. The seeds are the most commonly used part, usually prepared as a oil preparation. Reported properties include immunomodulatory, antispasmodic activity.",Oil preparation of seeds for external application. ,Not recommended for children under 5 years; Avoid during pregnancy unless advised by a qualified practitioner; May enhance the effect of antidiabetic medication; monitor blood sugar,saponins; phenolic acids; gallic acid,Central highlands,Data Deficient,young leaves,immunomodulatory; antispasmodic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0874,Godauda,sacred pepperbush,Pseudomedix medica var. montana,Moraceae,,loss of appetite; rheumatism; lactation support,bark; fruits,"sacred pepperbush (Pseudomedix medica var. montana), known in Sinhala as Godauda, is a medicinal plant of the family Moraceae recorded in Sri Lankan traditional medicine. It is traditionally used for loss of appetite, rheumatism, lactation support. The bark are the most commonly used part, usually prepared as a decoction. Reported properties include carminative, demulcent activity.","Decoction of bark: 60 ml, twice daily after meals. ",Avoid during pregnancy unless advised by a qualified practitioner; Avoid immediately before surgery; Use with caution in chronic kidney disease,terpenoids; tannins; gallic acid,Central highlands,Common (cultivated),tender shoots,carminative; demulcent; analgesic; hepatoprotective,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0875,Weluliya,forest tonic-vine,Petalodendron hirsuta var. minor,Fabaceae,Weluliya kola; forest tonic-vine,heart health; oedema; headache,tender shoots; seeds; leaves,"forest tonic-vine (Petalodendron hirsuta var. minor), known in Sinhala as Weluliya, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for heart health, oedema, headache. The tender shoots are the most commonly used part, usually prepared as a fresh juice. Reported properties include analgesic, astringent activity.",Fresh juice of tender shoots: 10-15 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Prolonged high-dose use may cause loose stools; Use with caution in liver disease,saponins; iridoids; beta-sitosterol,Dry zone,Common (cultivated),leaves (as mallum),analgesic; astringent; immunomodulatory,Ethnobotanical Research Archive ,research_paper
SLH-0876,Kekawala,river balmwort,Serendiba fragrans var. insularis,Lamiaceae,,obesity; sinusitis; headache,bark; tubers,"river balmwort (Serendiba fragrans var. insularis), known in Sinhala as Kekawala, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for obesity, sinusitis, headache. The bark are the most commonly used part, usually prepared as a fresh juice. Reported properties include anti-inflammatory, carminative activity.",Fresh juice of bark: 15-30 ml daily on an empty stomach. ,Use with caution in liver disease,phenolic acids; sterols; chlorogenic acid,Southern lowlands,Near Threatened,young leaves,anti-inflammatory; carminative,Ethnobotanical Research Archive ,research_paper
SLH-0877,Suragoda,monsoon creeper,Ayurvedia viridis subsp. lankana,Apocynaceae,,oedema; indigestion,bark; rhizome; leaves,"monsoon creeper (Ayurvedia viridis subsp. lankana), known in Sinhala as Suragoda, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oedema, indigestion. The bark are the most commonly used part, usually prepared as a paste. Reported properties include astringent, anti-inflammatory activity.",External use only: apply paste of bark to the affected area 1-2 times daily. ,May interact with antihypertensive medication; May cause allergic skin reaction in sensitive individuals; Avoid immediately before surgery,phenolic acids; alkaloids; kaempferol,Uva region,Least Concern,fruits,astringent; anti-inflammatory; analgesic; antipyretic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0878,Weriwala,island healwort,Lankandra medica,Poaceae,Weriwala kola; island healwort,urinary stones; high cholesterol,fruits,"island healwort (Lankandra medica), known in Sinhala as Weriwala, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary stones, high cholesterol. The fruits are the most commonly used part, usually prepared as a capsule. Reported properties include demulcent, diuretic activity.",Standardised extract capsule: 500 mg once daily. ,Prolonged high-dose use may cause loose stools; Avoid immediately before surgery,glycosides; essential oils; terpenoids; catechin,Intermediate zone,Near Threatened,young leaves,demulcent; diuretic; wound-healing; antibacterial,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0879,Kikiliya,coastal tonic-vine,Insularia glabra var. insularis,Malvaceae,Kikiliya kola; coastal tonic-vine,fever; general debility; eye health,tubers,"coastal tonic-vine (Insularia glabra var. insularis), known in Sinhala as Kikiliya, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for fever, general debility, eye health. The tubers are the most commonly used part, usually prepared as a paste. Reported properties include antidiabetic, demulcent activity.",External use only: apply paste of tubers to the affected area 1-2 times daily. ,Avoid immediately before surgery; May cause gastric irritation in high doses,alkaloids; polysaccharides; oleanolic acid; lupeol,Knuckles range,Common (cultivated),none recorded,antidiabetic; demulcent; galactagogue,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0880,Kinawala,sacred healwort,Pseudomedix latifolia,Annonaceae,Kinawala kola; sacred healwort,asthma; kidney health; boils; bronchitis,tubers; leaves; bark,"sacred healwort (Pseudomedix latifolia), known in Sinhala as Kinawala, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for asthma, kidney health, boils, bronchitis. The tubers are the most commonly used part, usually prepared as a fresh juice. Reported properties include antibacterial, demulcent activity.",Fresh juice of tubers: 15-30 ml daily on an empty stomach. ,Avoid with anticoagulant medication; May cause allergic skin reaction in sensitive individuals; May cause gastric irritation in high doses,phenolic acids; sterols; quercetin; lupeol,Dry zone,Common (cultivated),fruits,antibacterial; demulcent,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0881,Wanakola,village tonic-vine,Serendiba paniculata subsp. lankana,Verbenaceae,,kidney health; indigestion; headache,roots,"village tonic-vine (Serendiba paniculata subsp. lankana), known in Sinhala as Wanakola, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, indigestion, headache. The roots are the most commonly used part, usually prepared as a paste. Reported properties include galactagogue, carminative activity.",External use only: apply paste of roots to the affected area 1-2 times daily. ,Avoid with anticoagulant medication,flavonoids; lignans; catechin,Northern dry zone,Least Concern,none recorded,galactagogue; carminative,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0882,Rumuuda,wet-zone spurge,Viridilanka paniculata var. insularis,Euphorbiaceae,Rumuuda kola; wet-zone spurge,menstrual disorders; anxiety; oral health,roots; whole plant,"wet-zone spurge (Viridilanka paniculata var. insularis), known in Sinhala as Rumuuda, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for menstrual disorders, anxiety, oral health. The roots are the most commonly used part, usually prepared as a cold infusion. Reported properties include demulcent, wound-healing activity.",Cold infusion of roots soaked overnight: 100 ml in the morning. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid during pregnancy unless advised by a qualified practitioner; Use with caution while breastfeeding,glycosides; essential oils; alkaloids; chlorogenic acid; beta-sitosterol,Home gardens island-wide,Common (cultivated),none recorded,demulcent; wound-healing,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0883,Hehabatu,river betony,Insularia glabra var. major,Malvaceae,Hehabatu kola; river betony,bronchitis; immunity support; high cholesterol,bark; flowers,"river betony (Insularia glabra var. major), known in Sinhala as Hehabatu, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for bronchitis, immunity support, high cholesterol. The bark are the most commonly used part, usually prepared as a oil preparation. Reported properties include hepatoprotective, wound-healing activity.",Oil preparation of bark for external application. ,Avoid with anticoagulant medication; Not recommended for children under 5 years; Use with caution in chronic kidney disease,glycosides; iridoids; phenolic acids; lupeol; gallic acid,Home gardens island-wide,Vulnerable,tender shoots,hepatoprotective; wound-healing; astringent,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0884,Gamumala,village stoneroot,Ceylonia glabra var. insularis,Zingiberaceae,Gamumala kola; village stoneroot,kidney health; epilepsy support,tubers,"village stoneroot (Ceylonia glabra var. insularis), known in Sinhala as Gamumala, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, epilepsy support. The tubers are the most commonly used part, usually prepared as a capsule. Reported properties include expectorant, hypotensive activity.",Standardised extract capsule: 250 mg twice daily. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid with anticoagulant medication,tannins; polysaccharides; vanillic acid,Sinharaja periphery,Least Concern,seeds (after processing),expectorant; hypotensive; laxative,Medicinal Plants Reference Database ,database
SLH-0885,Wewahira,wild medick,Vireophyllum spinosa var. littoralis,Euphorbiaceae,,hypertension; memory improvement,flowers,"wild medick (Vireophyllum spinosa var. littoralis), known in Sinhala as Wewahira, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hypertension, memory improvement. The flowers are the most commonly used part, usually prepared as a capsule. Reported properties include astringent, anti-inflammatory activity.",Standardised extract capsule: 500 mg once daily. ,Avoid immediately before surgery; May cause allergic skin reaction in sensitive individuals; Avoid during pregnancy unless advised by a qualified practitioner,terpenoids; sterols; ursolic acid; vanillic acid,Island-wide,Least Concern,fruits,astringent; anti-inflammatory; analgesic; antipyretic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0886,Bogagaha,highland nightflower,Lankandra serrata,Verbenaceae,Bogagaha kola; highland nightflower,sore throat; flatulence,rhizome; latex,"highland nightflower (Lankandra serrata), known in Sinhala as Bogagaha, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sore throat, flatulence. The rhizome are the most commonly used part, usually prepared as a fresh juice. Reported properties include antidiabetic, immunomodulatory activity.",Fresh juice of rhizome: 10-15 ml daily on an empty stomach. ,May cause gastric irritation in high doses; Avoid with anticoagulant medication; Avoid immediately before surgery,anthraquinones; flavonoids; ellagic acid; kaempferol,Knuckles range,Least Concern,tender shoots,antidiabetic; immunomodulatory,Ethnobotanical Research Archive ,research_paper
SLH-0887,Bogabatu,Lanka stoneroot,Vireophyllum zeylanica,Euphorbiaceae,,inflammation; oedema,gum,"Lanka stoneroot (Vireophyllum zeylanica), known in Sinhala as Bogabatu, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for inflammation, oedema. The gum are the most commonly used part, usually prepared as a cold infusion. Reported properties include anthelmintic, diuretic activity.",Cold infusion of gum soaked overnight: 50 ml in the morning. ,May cause gastric irritation in high doses,lignans; terpenoids; coumarins; beta-sitosterol,Sinharaja periphery,Common (cultivated),seeds (after processing),anthelmintic; diuretic; antipyretic,Medicinal Plants Reference Database ,database
SLH-0888,Suhikola,sacred healwort,Vireophyllum paniculata,Rutaceae,Suhikola kola; sacred healwort,flatulence; joint pain; skin diseases; hypertension,rhizome,"sacred healwort (Vireophyllum paniculata), known in Sinhala as Suhikola, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for flatulence, joint pain, skin diseases, hypertension. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include diuretic, antitussive activity.",Oil preparation of rhizome for external application. ,Use with caution in liver disease; Use with caution while breastfeeding; Prolonged high-dose use may cause loose stools,lignans; saponins; gallic acid,Wet zone lowlands,Least Concern,fruits,diuretic; antitussive; antioxidant,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0889,Dalagala,highland milkweed,Ophiranthus lankensis var. minor,Cucurbitaceae,Dalagala kola; highland milkweed,urinary stones; migraine; haemorrhoids,latex,"highland milkweed (Ophiranthus lankensis var. minor), known in Sinhala as Dalagala, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary stones, migraine, haemorrhoids. The latex are the most commonly used part, usually prepared as a powder. Reported properties include antidiabetic, anthelmintic activity.","Dried latex powder: 3-5 g with warm water, once daily. ",Avoid with anticoagulant medication; Use with caution in liver disease,terpenoids; coumarins; oleanolic acid,Dry zone,Common (cultivated),leaves (as mallum),antidiabetic; anthelmintic; nervine tonic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0890,Suwaessa,wild creeper,Sinhaflora lankensis,Euphorbiaceae,Suwaessa kola; wild creeper,general debility; boils; sinusitis,tubers; rhizome,"wild creeper (Sinhaflora lankensis), known in Sinhala as Suwaessa, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for general debility, boils, sinusitis. The tubers are the most commonly used part, usually prepared as a cold infusion. Reported properties include antidiabetic, wound-healing activity.",Cold infusion of tubers soaked overnight: 100 ml in the morning. ,May cause gastric irritation in high doses; Use with caution while breastfeeding; May cause allergic skin reaction in sensitive individuals,alkaloids; glycosides; lupeol; stigmasterol,Island-wide,Near Threatened,leaves (as mallum),antidiabetic; wound-healing; antifungal; antispasmodic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0891,Boriliya,highland ginger-lily,Ceylonia hirsuta var. montana,Apocynaceae,Boriliya kola; highland ginger-lily,liver disorders; burns; anxiety,tubers,"highland ginger-lily (Ceylonia hirsuta var. montana), known in Sinhala as Boriliya, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for liver disorders, burns, anxiety. The tubers are the most commonly used part, usually prepared as a oil preparation. Reported properties include laxative, immunomodulatory activity.",Oil preparation of tubers for external application. ,Prolonged high-dose use may cause loose stools; Not recommended for children under 5 years; May enhance the effect of antidiabetic medication; monitor blood sugar,saponins; glycosides; lignans; apigenin,Dry zone,Data Deficient,young leaves,laxative; immunomodulatory; antipyretic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0892,Lahamula,Lanka healwort,Zeylandra latifolia,Myrtaceae,,joint pain; stress; headache,stem; leaves; tender shoots,"Lanka healwort (Zeylandra latifolia), known in Sinhala as Lahamula, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for joint pain, stress, headache. The stem are the most commonly used part, usually prepared as a decoction. Reported properties include anthelmintic, laxative activity.","Decoction of stem: 30 ml, twice daily after meals. ",May cause gastric irritation in high doses; Prolonged high-dose use may cause loose stools,tannins; sterols; oleanolic acid,Home gardens island-wide,Least Concern,none recorded,anthelmintic; laxative,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0893,Hematana,river fever-herb,Viridilanka officinarum var. minor,Malvaceae,Hematana kola; river fever-herb,immunity support; anxiety,stem; leaves,"river fever-herb (Viridilanka officinarum var. minor), known in Sinhala as Hematana, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, anxiety. The stem are the most commonly used part, usually prepared as a cold infusion. Reported properties include wound-healing, antipyretic activity.",Cold infusion of stem soaked overnight: 100 ml in the morning. ,Avoid with anticoagulant medication; Avoid immediately before surgery,iridoids; saponins; coumarins; oleanolic acid,Intermediate zone,Common (cultivated),none recorded,wound-healing; antipyretic; anti-inflammatory; nervine tonic,Ethnobotanical Research Archive ,research_paper
SLH-0894,Kabugala,island milkweed,Ceylonia serrata,Rubiaceae,,oral health; nausea,bark; stem,"island milkweed (Ceylonia serrata), known in Sinhala as Kabugala, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oral health, nausea. The bark are the most commonly used part, usually prepared as a paste. Reported properties include carminative, wound-healing activity.",External use only: apply paste of bark to the affected area 1-2 times daily. ,May cause allergic skin reaction in sensitive individuals; Avoid with anticoagulant medication; Avoid immediately before surgery,glycosides; anthraquinones; vanillic acid; chlorogenic acid,Sinharaja periphery,Common (cultivated),none recorded,carminative; wound-healing; antidiabetic; demulcent,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0895,Kosihira,monsoon sorrel,Xanthozeylania aquatica var. insularis,Cucurbitaceae,,urinary tract infections; lactation support; rheumatism,flowers; leaves,"monsoon sorrel (Xanthozeylania aquatica var. insularis), known in Sinhala as Kosihira, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary tract infections, lactation support, rheumatism. The flowers are the most commonly used part, usually prepared as a capsule. Reported properties include hepatoprotective, antidiabetic activity.",Standardised extract capsule: 500 mg once daily. ,May enhance the effect of antidiabetic medication; monitor blood sugar; May cause allergic skin reaction in sensitive individuals,flavonoids; essential oils; rutin; chlorogenic acid,Sinharaja periphery,Least Concern,seeds (after processing),hepatoprotective; antidiabetic; carminative; diuretic,Medicinal Plants Reference Database ,database
SLH-0896,Halahira,highland bitterleaf,Herbaphyton pallida var. minor,Melastomataceae,Halahira kola; highland bitterleaf,jaundice; hair care,whole plant; latex,"highland bitterleaf (Herbaphyton pallida var. minor), known in Sinhala as Halahira, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for jaundice, hair care. The whole plant are the most commonly used part, usually prepared as a powder. Reported properties include antioxidant, antifungal activity.","Dried whole plant powder: 1-2 g with warm water, twice daily. ",Avoid during pregnancy unless advised by a qualified practitioner; Use with caution while breastfeeding,iridoids; polysaccharides; essential oils; kaempferol,Wet zone lowlands,Least Concern,none recorded,antioxidant; antifungal; laxative,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0897,Wahakanda,wet-zone betony,Sinhaflora serrata var. minor,Myrtaceae,,indigestion; intestinal worms,rhizome; tender shoots,"wet-zone betony (Sinhaflora serrata var. minor), known in Sinhala as Wahakanda, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for indigestion, intestinal worms. The rhizome are the most commonly used part, usually prepared as a powder. Reported properties include wound-healing, antibacterial activity.","Dried rhizome powder: 2-3 g with warm water, twice daily. ",Use with caution in chronic kidney disease,alkaloids; terpenoids; oleanolic acid; apigenin,Coastal areas,Near Threatened,young leaves,wound-healing; antibacterial; galactagogue,Medicinal Plants Reference Database ,database
SLH-0898,Lagatana,monsoon medick,Ophiranthus paniculata var. montana,Acanthaceae,Lagatana kola; monsoon medick,headache; boils; hypertension; flatulence,leaves,"monsoon medick (Ophiranthus paniculata var. montana), known in Sinhala as Lagatana, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for headache, boils, hypertension, flatulence. The leaves are the most commonly used part, usually prepared as a decoction. Reported properties include demulcent, antipyretic activity.","Decoction of leaves: 60 ml, once daily after meals. ",Avoid during pregnancy unless advised by a qualified practitioner; Use with caution in liver disease,polysaccharides; flavonoids; alkaloids; luteolin; catechin,Intermediate zone,Data Deficient,leaves (as mallum),demulcent; antipyretic; anti-inflammatory; hypotensive,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0899,Kodakanda,coastal spurge,Lankandra medica var. littoralis,Malvaceae,,kidney health; nausea; burns,seeds,"coastal spurge (Lankandra medica var. littoralis), known in Sinhala as Kodakanda, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, nausea, burns. The seeds are the most commonly used part, usually prepared as a powder. Reported properties include antibacterial, antioxidant activity.","Dried seeds powder: 2-3 g with warm water, once daily. ",Prolonged high-dose use may cause loose stools; May interact with antihypertensive medication; Use with caution while breastfeeding,anthraquinones; flavonoids; ursolic acid,Intermediate zone,Near Threatened,tender shoots,antibacterial; antioxidant,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0900,Pahawila,wild balmwort,Herbaphyton hirsuta var. montana,Rubiaceae,,eye health; indigestion; asthma; diarrhoea,stem; latex; whole plant,"wild balmwort (Herbaphyton hirsuta var. montana), known in Sinhala as Pahawila, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for eye health, indigestion, asthma, diarrhoea. The stem are the most commonly used part, usually prepared as a capsule. Reported properties include antibacterial, hepatoprotective activity.",Standardised extract capsule: 500 mg twice daily. ,May enhance the effect of antidiabetic medication; monitor blood sugar,tannins; coumarins; polysaccharides; ursolic acid,Home gardens island-wide,Data Deficient,seeds (after processing),antibacterial; hepatoprotective; antispasmodic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0901,Gakaweli,highland milkweed,Ceylonia officinarum var. littoralis,Lamiaceae,Gakaweli kola; highland milkweed,liver disorders; ringworm,stem; latex; tender shoots,"highland milkweed (Ceylonia officinarum var. littoralis), known in Sinhala as Gakaweli, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for liver disorders, ringworm. The stem are the most commonly used part, usually prepared as a decoction. Reported properties include antispasmodic, wound-healing activity.","Decoction of stem: 90 ml, twice daily after meals. ",Prolonged high-dose use may cause loose stools; Use with caution while breastfeeding; Use with caution in chronic kidney disease,essential oils; coumarins; terpenoids; kaempferol,Knuckles range,Least Concern,seeds (after processing),antispasmodic; wound-healing; antidiabetic; galactagogue,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0902,Lahimala,forest fever-herb,Insularia tomentosa var. insularis,Verbenaceae,Lahimala kola; forest fever-herb,muscle pain; urinary tract infections; chest congestion,latex,"forest fever-herb (Insularia tomentosa var. insularis), known in Sinhala as Lahimala, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for muscle pain, urinary tract infections, chest congestion. The latex are the most commonly used part, usually prepared as a cold infusion. Reported properties include antidiabetic, antispasmodic activity.",Cold infusion of latex soaked overnight: 100 ml in the morning. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid with anticoagulant medication; May cause gastric irritation in high doses,flavonoids; alkaloids; anthraquinones; chlorogenic acid; stigmasterol,Uva region,Least Concern,leaves (as mallum),antidiabetic; antispasmodic; hepatoprotective; hypotensive,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0903,Kidaliya,wild bitterleaf,Pseudomedix aromatica var. montana,Melastomataceae,,epilepsy support; constipation; immunity support,tubers; rhizome,"wild bitterleaf (Pseudomedix aromatica var. montana), known in Sinhala as Kidaliya, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for epilepsy support, constipation, immunity support. The tubers are the most commonly used part, usually prepared as a herbal tea. Reported properties include laxative, galactagogue activity.","Herbal tea: steep 2 tsp of dried tubers in hot water, drink once daily. ",May cause gastric irritation in high doses; Use with caution in chronic kidney disease,sterols; lignans; tannins; ellagic acid; apigenin,Island-wide,Least Concern,leaves (as mallum),laxative; galactagogue,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0904,Kodaliya,highland milkweed,Xanthozeylania latifolia var. montana,Euphorbiaceae,Kodaliya kola; highland milkweed,chest congestion; liver disorders; urinary tract infections; immunity support,rhizome,"highland milkweed (Xanthozeylania latifolia var. montana), known in Sinhala as Kodaliya, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for chest congestion, liver disorders, urinary tract infections, immunity support. The rhizome are the most commonly used part, usually prepared as a cold infusion. Reported properties include antibacterial, nervine tonic activity.",Cold infusion of rhizome soaked overnight: 50 ml in the morning. ,Use with caution in liver disease; Avoid during pregnancy unless advised by a qualified practitioner; May cause allergic skin reaction in sensitive individuals,coumarins; phenolic acids; flavonoids; vanillic acid,Northern dry zone,Data Deficient,leaves (as mallum),antibacterial; nervine tonic; antifungal,Ethnobotanical Research Archive ,research_paper
SLH-0905,Musawala,Ceylon fever-herb,Serendiba rotundifolia var. major,Asteraceae,,high cholesterol; haemorrhoids; wound healing; fever,latex,"Ceylon fever-herb (Serendiba rotundifolia var. major), known in Sinhala as Musawala, is a medicinal plant of the family Asteraceae recorded in Sri Lankan traditional medicine. It is traditionally used for high cholesterol, haemorrhoids, wound healing, fever. The latex are the most commonly used part, usually prepared as a cold infusion. Reported properties include nervine tonic, antioxidant activity.",Cold infusion of latex soaked overnight: 50 ml in the morning. ,Use with caution in liver disease; May enhance the effect of antidiabetic medication; monitor blood sugar; May cause allergic skin reaction in sensitive individuals,tannins; essential oils; flavonoids; luteolin; chlorogenic acid,Dry zone,Least Concern,young leaves,nervine tonic; antioxidant; wound-healing,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0906,Maratana,village sorrel,Sinhaflora aromatica var. insularis,Euphorbiaceae,,hair care; immunity support; memory improvement,fruits; stem,"village sorrel (Sinhaflora aromatica var. insularis), known in Sinhala as Maratana, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hair care, immunity support, memory improvement. The fruits are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include nervine tonic, carminative activity.","Herbal porridge (kola kanda) prepared with fresh fruits, consumed as breakfast 2-3 times weekly. ",Prolonged high-dose use may cause loose stools; Use with caution in liver disease; May cause gastric irritation in high doses,iridoids; anthraquinones; alkaloids; gallic acid; lupeol,Sinharaja periphery,Common (cultivated),none recorded,nervine tonic; carminative; anti-inflammatory; laxative,Ethnobotanical Research Archive ,research_paper
SLH-0907,Tiwikanda,lowland ginger-lily,Tropicophyton medica var. minor,Malvaceae,,haemorrhoids; toothache; bronchitis,seeds; latex,"lowland ginger-lily (Tropicophyton medica var. minor), known in Sinhala as Tiwikanda, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for haemorrhoids, toothache, bronchitis. The seeds are the most commonly used part, usually prepared as a capsule. Reported properties include hypotensive, demulcent activity.",Standardised extract capsule: 250 mg twice daily. ,Not recommended for children under 5 years; May interact with antihypertensive medication,polysaccharides; anthraquinones; ursolic acid; beta-sitosterol,Uva region,Near Threatened,fruits,hypotensive; demulcent; antispasmodic; astringent,Ethnobotanical Research Archive ,research_paper
SLH-0908,Rudagaha,island bitterleaf,Viridilanka hirsuta var. major,Melastomataceae,,jaundice; insomnia; muscle pain,rhizome,"island bitterleaf (Viridilanka hirsuta var. major), known in Sinhala as Rudagaha, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for jaundice, insomnia, muscle pain. The rhizome are the most commonly used part, usually prepared as a paste. Reported properties include analgesic, nervine tonic activity.",External use only: apply paste of rhizome to the affected area 1-2 times daily. ,Use with caution in chronic kidney disease; Avoid immediately before surgery; May interact with antihypertensive medication,iridoids; lignans; essential oils; luteolin,Northern dry zone,Least Concern,tender shoots,analgesic; nervine tonic,Ethnobotanical Research Archive ,research_paper
